name,name:en,addr:street,amenity,opening_hours
7 Скара Ресторан,7 Grill Restaurant,Даме Груев,restaurant,Mo-Th 08:00-24:00; Sa 08:00-01:00
Мезе Бар,Meze Bar,Булевар Кузман Јосифовски Питу,restaurant,Fr-Su 08:00-01:00; Su 08:00-17:00; Mo-Th 08:00-00:00
Изи,Izzi,,cafe,
Gostilnica Gurman,guest house Gurman,,restaurant,Mo-Su 07:00-22:00
Баба Цана,Baba Cana,,restaurant,
Паб Порта,Pub Porta,Булевар Партизански Одреди,pub,Mo-Th 09:00-00:00  Fr-Sa 09:00-01:00
Laika,,,cafe,
Kaldrma,,,bar,
Van Gogh,,,bar,
Еу ејџ,,,cafe,
Star Ocean,,,restaurant,
63,,,cafe,
Fitness house,,,restaurant,
Centar Bar,,,bar,Mo-Su 09:00-23:00
Thirio,,Булевар Илинден,bar,
Кахава,Cahawa,,cafe,
кај сердарот,Kaj Serdarot,,restaurant,
Lounge Bar Divan,,,pub,
Дебар Маало,Debar Maalo,Живко Чинго,restaurant,Su-Th 08:00-00:30; Fr-Sa 08:00-01:00
Mikel,Vinyl,Булевар Партизански Одреди,cafe,
Централ Парк,,,cafe,
МЦМ Мезе Бар,MCM Meze Bar,Булевар Илинден,restaurant,24/7
Костарика,Kostarika,,restaurant,
Калабалак,Kalabalak,,restaurant,
Старо Скупи,Staro Skupi,,restaurant,
Занзибар,Zanzibar,,restaurant,
Идадија,Idadija,,restaurant,
Наџак,Nadzak,,restaurant,
Zing,Fruti Di Mare,,restaurant,
Дебар Маало,Gostilnica Ilinden,,restaurant,
Кај Перо,Kaj Pero,,restaurant,
Radio bar,,,bar,
DejaVu,,,cafe,
Istanbul,,,cafe,
Gostilnica Estel,,,restaurant,
,O La La,,cafe,
СНОШТИ МИНАВ,SNOSTI MINAV,,restaurant,
,,,restaurant,
,,,bar,
Кафана "Дебар Маало",Kafana "Debar Maalo",Живко Чинго,restaurant,Mo-Th 08:00-00:00; Fr-Su 08:00-01:00
Kandi,Kandy,,cafe,Mo-Su 07:15-00:00
,Pivnika Temov,,pub,
,Damar,,pub,
,Winery Temov,,pub,
,Old lady beer bar,,bar,
,7 Grama Espresso Studio,,cafe,
Squeeze Me,Squeeze Me,,cafe,Mo-Su 09:00-21:00
k8,,,cafe,Mo-Su 10:00-22:00
Pçela,,,restaurant,
,,,cafe,
,,,bar,
Manda Coffee Bar,,,cafe,Mo-Su 09:00-21:00
,,,cafe,
,,,cafe,
,,,cafe,
,Bratstvo,,restaurant,
,,,cafe,
,,,restaurant,
,,,restaurant,
,,,bar,
Paladin M,,,cafe,
,,,bar,
,,,cafe,
,,,restaurant,
,,,cafe,
Воденица,,,restaurant,
,,,restaurant,
Restoran Frosina,,,restaurant,
fourplay,,Орце Николов,cafe,
Kaj Гоце,,,restaurant,
,Brown Sugar Café & Bar,,bar,
Coffee O'Clock,,,cafe,
Mr. Jack,,,bar,
,Kosmos,,restaurant,Mo-Su 07:00-22:00
Веган365Кујна,Vegan365Kitchen,Булевар Климент Охридски,cafe,Mo-Fr 09:00-17:00
Boomerang Shisha,,Казанџиска,cafe,24/7
Kebapčilinica Rio,Grill House Rio,,restaurant,
,Gjeltoria Palas,,restaurant,
Vega,,,restaurant,
Сараево,Saraj,,restaurant,Mo-Su 07:30-19:00
Home Brews,,,cafe,Mo-Su 09:00-22:00
Three Kitchen Bar,,,bar,
Distrikt,,,bar,
Tako mako,,,restaurant,
Ohrid,,,restaurant,
Markt kitchen,,,restaurant,
Urban,,,cafe,24/7
Sac,,,restaurant,
Skopsko,,,restaurant,
Palas,,,restaurant,
Schpajs,,,restaurant,
Coffe Tearoom Lachi,,,cafe,Mo-Sa 08:00-18:00
Don Giovanni,,,restaurant,
Bomonti,,,cafe,Mo-Su 10:00-22:00
Concept,,,restaurant,
Plaset,Restoran Saraj,,restaurant,Mo-Su 07:00-02:00
Toto,Toto Daily Bistro,,cafe,Mo-Sa 08:00-01:00
,Toto,,restaurant,
,Teteks,,restaurant,
Букет,,,restaurant,
Shakespeare Cafe,,Булевар Партизански Одреди,cafe,Mo-Su 08:00-00:00
Mosh,,,restaurant,
Juicy&co,,,cafe,
Зафир,,,cafe,
Nano,,,bar,
Majahh,,,cafe,
Metzka,,,restaurant,
Stobi Winery,,,pub,
Kairo,,,cafe,Mo-Su 09:00-21:00
Stay you,,,cafe,Mo-Su 08:00-22:00
JJ&S,,,cafe,Mo-Su 09:00-21:00
Davidoff,,,restaurant,
Mulliri,,,cafe,Mo-Su 11:00-23:00
MIG,,,cafe,Mo-Su 09:00-21:00
Pizzeria Bik,,,restaurant,
Gallery 7,,,cafe,Mo-Su 09:00-21:00
Old Balkan,,,restaurant,
,,,cafe,
Sultan Kejf,,,cafe,
Kursumli An,,,restaurant,
,Drip Coffee (Specialty Coffee),,cafe,Mo-Fr 07:30-18:00; Sa 09:00-15:00
,Mal Altan,Булевар Гоце Делчев,pub,
,Short bus,Булевар Партизански Одреди,cafe,Mo-Th 09:00-00:00; Fr-Sa 09:00-01:00; Su 17:00-00:00
Кафе и сине Котур,Cafe I cine Kotur,,bar,
12-12 “Дванаес Дванаес”,12-12 “Twelve - Twelve”,,bar,
Ресторан Национал,Restaurant National,,restaurant,
Кај Јоле,Kaj Jole,,restaurant,
Рок Кафана Рустикана 2.0,Rock Kafana Rustikana 2.0,Булевар Илинден,restaurant,Mo-Sa 10:00-24:00
Рузвелт,Roosvelt,,cafe,
Скадарлија,,Орце Николов,restaurant,
by the way,,,bar,
Cafe Barcelona,,,cafe,Mo-Sa 08:00-18:00
Joy Café & Bakery (Centar),,,cafe,
Paradise Food,,Даме Груев,restaurant,Mo-Th 08:00-20:00; Fr 08:00-16:00; Su 08:00-20:00
,,,restaurant,
Mexican street food,,,restaurant,
Boko,,,restaurant,
Lafe,,,cafe,
,,,cafe,
Coffee corner,,,cafe,
18,,,pub,
Конструкта,,Васил Ѓоргов,restaurant,
Custom Pub,,,pub,
Ресторан 2 Златника,,Митрополит Теодосиј Гологанов,restaurant,
Керпич,,Дебарца,restaurant,
Дане,Dane,Киро Крстевски Платник,restaurant,
Ка,,Митрополит Теодосиј Гологанов,restaurant,
Ѓезме,,,restaurant,
Мечос,,Аминта Трети,restaurant,
Coffee Factory,,Ленинова,cafe,
цреша бар,,Рајко Жинзифов,bar,
,,,restaurant,
Деус,Deus,Антоние Грубишиќ,bar,
Juice Bar,Decata od nasata ulica,Аминта Трети,cafe,
Правда,,Аминта Трети,bar,
C'est la vie,,,bar,
Бастион,Bastion,Пиринска,bar,9:00-20:00
Sushi Ко,Sushico,Аминта Трети,restaurant,Su-Th 12:00-23:00; Fr-Sa 10:00-00:00
Special Beer Bar COSY,Special Beer Bar COSY,Булевар Климент Охридски,pub,Tu-Th 16:00-00:00  Fr-Sa 16:00-01:00; Su 16:00-00:00
Стара куќа,Old House Restaurant,Пајко Маало,restaurant,
Маракана,,,bar,
Уранија,,,restaurant,
Ѕвезден Океан,Star Ocean,,restaurant,
Ресторан Маргер,,Булевар Илинден,restaurant,08:00-24:00  Fr-Sa 08:00-01:00
,Cafe Gorki,,restaurant,
Љубов,Ljubov,,cafe,
Manhattan Cafe,,Аминта Трети,cafe,
Рулет,,,restaurant,
Sopotsko,,,restaurant,
Kуќа,,,restaurant,
Ресторан Кej,Restoran Kej,Кеј 13 Ноември,restaurant,
Бравос,,Адолф Циборовски,restaurant,
Od Nas Za Vas,,,restaurant,
Кашмир Арт Кафе,Kashmir Art Caffe,Никола Тримпаре,cafe,
Воденица,Vodenica Mulino,,restaurant,
Дукат,Gostilnica Dukat,Митрополит Теодосиј Гологанов,restaurant,Mo-Fr 08:00-24:00; Sa Su 00:00-01:00 08:00-24:00
Корнер / Баба Цана,Korner / Baba Cana,Партенија Зографски,restaurant,08:00 - 00:00
Skopski Merak,,Дебарца,restaurant,Mo-Su 00:00-01:00 08:00-24:00
Томче Софка,Tomche Sofka,Јордан Хаџиконстантинов Џинот,restaurant,
Калабалак,,,restaurant,
,,Орце Николов,pub,
Јавна Соба,Public Room,50-та дивизија,restaurant,08:00-24:00
Излет,Izlet,Мирослав Крлежа,cafe,
Пивница Стар град,Old Town Brewery,Градиште,pub,Mo-Su 00:00-02:00 09:00-24:00
Ла Тана,,,restaurant,
Амиго,,,restaurant,
Кај Злате,,,restaurant,
Галерија 7,,,restaurant,
Erdi,,Сараевска,restaurant,
Vesa,,Сараевска,restaurant,
Alba,,Сараевска,restaurant,
,,Сараевска,restaurant,
Dielli,,,restaurant,
Golden Mili,,Пере Тошев,restaurant,
Кај Жабарот,,,restaurant,
Читална,Chitalna,,restaurant,
џубокс,juboks,Орце Николов,bar,
Чардак,Chardak,,restaurant,
Стоби,,,pub,
Наша софра,Nasha Sofra,,restaurant,
Дебар Маало,,,restaurant,
Гурмет,,Отон Жупанчич,restaurant,09:00-24:00  Fr-Sa 09:00-01:00
Наџак,,Мирослав Крлежа,restaurant,
Синдикат,Sindikat,Орце Николов,cafe,Mo-Su 09:00-01:00
Kancelarija,,,restaurant,
Чамо,Chamo,,restaurant,
Ganza,,Ѓорѓи Пешков,restaurant,
Antica,,Дебарца,restaurant,
цреша бар,,Рајко Жинзифов,cafe,
Krug,,Наум Наумовски Борче,bar,09:00-17:00
Скандал,,,cafe,
Лајт кафе,,,cafe,
My Space cafe,My Space,Народен Фронт,cafe,Mo-Su 08:00-01:00
,,,restaurant,
